controller,parameter_index,value
ATTITUDE_PID,1,2
ATTITUDE_PID,2,1
ATTITUDE_PID,3,-0.0285483625806031
CASCADE_PID,1,-0.664851495728657
CASCADE_PID,2,-4
CASCADE_PID,3,-0.629486195128481
CASCADE_PID,4,0.962432899172647
CASCADE_PID,5,0.244896751782106
FUZZY_PID,1,-0.617982957425132
FUZZY_PID,2,-3.40230481407449
FUZZY_PID,3,-0.714442690992226
FUZZY_PID,4,0.966376423088923
FUZZY_PID,5,-1.30102999566398
FUZZY_PID,6,0.00475115559100102
FUZZY_PID,7,0.2
FUZZY_PID,8,0.2
FUZZY_PID,9,0.2
LQR,1,0.43683316852464
LQR,2,0.0102179690454058
LQR,3,2.09232181252711
LQR,4,-0.390944557637159
LQR,5,-3
LQI,1,3.3951955967278
LQI,2,2.70352931222736
LQI,3,3.08508749655685
LQI,4,-2
LQI,5,3.64505190154746
LQI,6,-3
