controller,scenario,split,seed,success,simulation_success,failure_reason,survived_time,theta_rms_deg,max_abs_theta_deg,max_abs_theta_rad,theta_itae,attitude_settling_time,position_itae,final_abs_position_error,position_settling_time,position_overshoot,position_drift,control_energy,saturation_time,saturation_ratio,disturbance_recovery_time,controller_runtime_seconds,mean_step_runtime_us,simulation_runtime_seconds,controller_evaluation_count,controller_completed_count,run_index,rho,delta_body_mass,delta_com_length,delta_body_inertia,initial_theta_deg,reference_amplitude,force_amplitude,force_start,force_duration,constant_force,measurement_noise_seed
ATTITUDE_PID,S4_monte_carlo,test,2026,0,1,task_not_settled,10,0.315584382823,2.53339412988878,0.044216068817256,0.131634771116633,0.021,34.9395512501071,0.834461282624636,10,0,0.2249938878645,2.25817543241704,0.5995,0.05999400059994,10,0.0186836000000001,18.6649350649351,0.1186901,1001,1001,0,0.1,-0.0561308730146154,-0.0173976526242666,0.0953270956320602,2.53339412988878,0.609467394760136,8.93775247118835,3.39628217803784,0.282343036369055,0.0582501148658583,2026
CASCADE_PID,S4_monte_carlo,test,2026,1,1,,10,1.63026315883639,6.76483520932172,0.118068647757504,0.409394940639667,4.24,1.68220039472282,0.00147729094338511,3.851,0.000589026516192526,0.607990103816751,0.262864127297229,0.0100000000000001,0.000999900009999,0.000374785593109106,0.0221538000000001,22.1316683316684,0.1051614,1001,1001,0,0.1,-0.0561308730146154,-0.0173976526242666,0.0953270956320602,2.53339412988878,0.609467394760136,8.93775247118835,3.39628217803784,0.282343036369055,0.0582501148658583,2026
FUZZY_PID,S4_monte_carlo,test,2026,1,1,,10,2.12508006572517,10.1913465440406,0.177872552405254,0.530307692475739,4.199,1.43216058089574,0.001444176416036,3.891,0.0600295999105531,0.6080232183441,0.440922632221814,0.28,0.027997200279972,0.000374785593109106,0.0722219000000001,72.1497502497504,0.162643,1001,1001,0,0.1,-0.0561308730146154,-0.0173976526242666,0.0953270956320602,2.53339412988878,0.609467394760136,8.93775247118835,3.39628217803784,0.282343036369055,0.0582501148658583,2026
LQR,S4_monte_carlo,test,2026,1,1,,10,0.803468346019301,3.78088203349022,0.0659888401139028,0.172432327424118,1.46,1.87728034773243,0.000650169837963843,2.849,0.00101812950634617,0.608817224922172,0.480305077696057,0.0794999999999999,0.007999200079992,0.000374785593109106,0.0145254000000001,14.5108891108892,0.1194254,1001,1001,0,0.1,-0.0561308730146154,-0.0173976526242666,0.0953270956320602,2.53339412988878,0.609467394760136,8.93775247118835,3.39628217803784,0.282343036369055,0.0582501148658583,2026
LQI,S4_monte_carlo,test,2026,1,1,,10,0.952866001587817,3.68778848939022,0.0643640512570073,0.258243740623365,3.516,1.82403698961233,0.00120713531925132,2.873,0.00346810698316324,0.608260259440885,0.932011547469348,0.0795000000000001,0.007999200079992,0.000374785593109106,0.0357674,35.7316683316683,0.1260907,1001,1001,0,0.1,-0.0561308730146154,-0.0173976526242666,0.0953270956320602,2.53339412988878,0.609467394760136,8.93775247118835,3.39628217803784,0.282343036369055,0.0582501148658583,2026
ATTITUDE_PID,S4_monte_carlo,test,2027,0,1,task_not_settled,10,0.815485183889243,7.24985528858975,0.126533845079015,0.130847832161266,0.389,29.556796843722,0.624727084683765,10,0,0.0256530037244042,2.54488722544522,0.9195,0.091990800919908,10,0.0173378000000001,17.3204795204796,0.1020374,1001,1001,1,0.1,0.0603134516835367,0.0807900822251127,0.0561333157580627,7.24985528858975,0.650380088408169,-4.5498225107357,4.68354045040012,0.146273272249258,0.346055366482697,2027
CASCADE_PID,S4_monte_carlo,test,2027,1,1,,10,1.71155049638196,7.32791961226764,0.127896324555537,0.311582894642908,2.54,1.78955313129546,0.014797237777322,2.168,0.010086646516015,0.635582850630847,0.105935193874795,0.0195000000000001,0.001999800019998,0.000186277350621822,0.0200735000000002,20.0534465534468,0.1007713,1001,1001,1,0.1,0.0603134516835367,0.0807900822251127,0.0561333157580627,7.24985528858975,0.650380088408169,-4.5498225107357,4.68354045040012,0.146273272249258,0.346055366482697,2027
FUZZY_PID,S4_monte_carlo,test,2027,1,1,,10,1.89546783305932,10.4840723477969,0.182981581486348,0.345046665326128,4.873,1.4276294894217,0.0127464499424956,1.539,0.0230256482923179,0.637633638465674,0.201931135389303,0.0495,0.004999500049995,0.000186277350621822,0.0661901,66.1239760239761,0.1553949,1001,1001,1,0.1,0.0603134516835367,0.0807900822251127,0.0561333157580627,7.24985528858975,0.650380088408169,-4.5498225107357,4.68354045040012,0.146273272249258,0.346055366482697,2027
LQR,S4_monte_carlo,test,2027,1,1,,10,0.946155605426738,7.24985528858975,0.126533845079015,0.191219474103779,1.505,2.01171901858435,0.0085426113131889,2.756,0.00830771781285533,0.641837477094981,0.411096502457111,0.0495000000000001,0.004999500049995,0.000186277350621822,0.0130219,13.0088911088911,0.0931948,1001,1001,1,0.1,0.0603134516835367,0.0807900822251127,0.0561333157580627,7.24985528858975,0.650380088408169,-4.5498225107357,4.68354045040012,0.146273272249258,0.346055366482697,2027
LQI,S4_monte_carlo,test,2027,1,1,,10,1.2405798890804,7.24985528858975,0.126533845079015,0.262824571741556,1.756,1.97335000602498,0.00122934492894311,2.694,0.0025215454247991,0.649150743479226,0.979757274824924,0.0795000000000005,0.007999200079992,0.000186277350621822,0.0292646,29.2353646353646,0.1124671,1001,1001,1,0.1,0.0603134516835367,0.0807900822251127,0.0561333157580627,7.24985528858975,0.650380088408169,-4.5498225107357,4.68354045040012,0.146273272249258,0.346055366482697,2027
