controller,metric,n,mean,median,std,q1,q3,bootstrap_ci_low,bootstrap_ci_high,total_n,success_count,success_rate,success_ci_low,success_ci_high
ATTITUDE_PID,theta_rms_deg,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10,0,0,0,0.277532799862889
ATTITUDE_PID,position_itae,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10,0,0,0,0.277532799862889
ATTITUDE_PID,control_energy,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10,0,0,0,0.277532799862889
ATTITUDE_PID,saturation_ratio,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10,0,0,0,0.277532799862889
CASCADE_PID,theta_rms_deg,10,1.78090702365618,1.7443229352507,0.303830521019573,1.63026315883639,1.99291111696766,1.6326958339374,1.9414359250373,10,10,1,0.722467200137111,1
CASCADE_PID,position_itae,10,1.90827068281731,1.82112789895301,0.514496502783362,1.60128672283962,2.22024114597096,1.64926443513239,2.16296434853576,10,10,1,0.722467200137111,1
CASCADE_PID,control_energy,10,0.146740443565103,0.139856465667368,0.0443487092494912,0.129509808464534,0.150973016157615,0.122449734282069,0.178808791743339,10,10,1,0.722467200137111,1
CASCADE_PID,saturation_ratio,10,0.0012998700129987,0.000999900009999,0.000674881069603593,0.000999900009999,0.001999800019998,0.000999900009999,0.0016998300169983,10,10,1,0.722467200137111,1
FUZZY_PID,theta_rms_deg,10,2.04340330527263,2.0297975745839,0.32199294374428,1.89546783305932,2.2329283265071,1.81124825948214,2.25522065212748,10,10,1,0.722467200137111,1
FUZZY_PID,position_itae,10,1.59869558299322,1.58868993237186,0.383617104816221,1.4276294894217,1.73499677086684,1.32678494747278,1.75291667684647,10,10,1,0.722467200137111,1
FUZZY_PID,control_energy,10,0.244308590235784,0.223974191337261,0.0725306041746895,0.207202311709357,0.251864602755977,0.214605447781448,0.29011494968617,10,10,1,0.722467200137111,1
FUZZY_PID,saturation_ratio,10,0.005999400059994,0.0034996500349965,0.00784495036892299,0.002999700029997,0.004999500049995,0.002999700029997,0.0108989101089891,10,10,1,0.722467200137111,1
LQR,theta_rms_deg,10,0.969435133613869,0.956099227989501,0.189728568405267,0.819307364009753,1.08662538999891,0.862044572464837,1.07231212815712,10,10,1,0.722467200137111,1
LQR,position_itae,10,2.21884974492479,2.18549138341756,0.482845073985742,1.87728034773243,2.60004504701152,1.923155044058,2.52717661761398,10,10,1,0.722467200137111,1
LQR,control_energy,10,0.420903989289329,0.409361667949313,0.033266734200385,0.397202291451577,0.45270657177082,0.400080749117386,0.440044459803359,10,10,1,0.722467200137111,1
LQR,saturation_ratio,10,0.0051994800519948,0.004999500049995,0.00131642953425534,0.004999500049995,0.005999400059994,0.0044995500449955,0.0058994100589941,10,10,1,0.722467200137111,1
LQI,theta_rms_deg,10,1.21041838852907,1.23789858679243,0.232320886361446,1.05838382388874,1.3810447841043,1.07448245154115,1.35242314783611,10,10,1,0.722467200137111,1
LQI,position_itae,10,2.15823496824325,2.10299399531497,0.469391191086886,1.82403698961233,2.46780078237998,1.89888492515086,2.43047860536299,10,10,1,0.722467200137111,1
LQI,control_energy,10,0.907552366354912,0.888230332730806,0.112825676341324,0.823397734097622,0.979757274824924,0.861994697982852,0.975886817352676,10,10,1,0.722467200137111,1
LQI,saturation_ratio,10,0.0061993800619938,0.0064993500649935,0.00187360854881914,0.003999600039996,0.007999200079992,0.0050994900509949,0.0070992900709929,10,10,1,0.722467200137111,1
