metric,first_controller,second_controller,first_n,second_n,p_value,p_value_holm,cliffs_delta
theta_rms_deg,ATTITUDE_PID,CASCADE_PID,0,10,NaN,NaN,NaN
theta_rms_deg,ATTITUDE_PID,FUZZY_PID,0,10,NaN,NaN,NaN
theta_rms_deg,ATTITUDE_PID,LQR,0,10,NaN,NaN,NaN
theta_rms_deg,ATTITUDE_PID,LQI,0,10,NaN,NaN,NaN
theta_rms_deg,CASCADE_PID,FUZZY_PID,10,10,0.0889730117018133,0.0889730117018133,-0.46
theta_rms_deg,CASCADE_PID,LQR,10,10,0.00024612812790523,0.00123064063952615,0.98
theta_rms_deg,CASCADE_PID,LQI,10,10,0.00131494466971322,0.00394483400913965,0.86
theta_rms_deg,FUZZY_PID,LQR,10,10,0.00018267179110955,0.0010960307466573,1
theta_rms_deg,FUZZY_PID,LQI,10,10,0.00024612812790523,0.00123064063952615,0.98
theta_rms_deg,LQR,LQI,10,10,0.0257480808211081,0.0514961616422162,-0.6
position_itae,ATTITUDE_PID,CASCADE_PID,0,10,NaN,NaN,NaN
position_itae,ATTITUDE_PID,FUZZY_PID,0,10,NaN,NaN,NaN
position_itae,ATTITUDE_PID,LQR,0,10,NaN,NaN,NaN
position_itae,ATTITUDE_PID,LQI,0,10,NaN,NaN,NaN
position_itae,CASCADE_PID,FUZZY_PID,10,10,0.140465048158355,0.56186019263342,0.4
position_itae,CASCADE_PID,LQR,10,10,0.161972410480126,0.56186019263342,-0.38
position_itae,CASCADE_PID,LQI,10,10,0.185876732365876,0.56186019263342,-0.36
position_itae,FUZZY_PID,LQR,10,10,0.00728455700947967,0.043707342056878,-0.72
position_itae,FUZZY_PID,LQI,10,10,0.0172574560831198,0.0862872804155989,-0.64
position_itae,LQR,LQI,10,10,0.79133678010066,0.79133678010066,0.08
control_energy,ATTITUDE_PID,CASCADE_PID,0,10,NaN,NaN,NaN
control_energy,ATTITUDE_PID,FUZZY_PID,0,10,NaN,NaN,NaN
control_energy,ATTITUDE_PID,LQR,0,10,NaN,NaN,NaN
control_energy,ATTITUDE_PID,LQI,0,10,NaN,NaN,NaN
control_energy,CASCADE_PID,FUZZY_PID,10,10,0.00220221994249708,0.00220221994249708,-0.82
control_energy,CASCADE_PID,LQR,10,10,0.00018267179110955,0.0010960307466573,-1
control_energy,CASCADE_PID,LQI,10,10,0.00018267179110955,0.0010960307466573,-1
control_energy,FUZZY_PID,LQR,10,10,0.00100797624037675,0.00201595248075349,-0.88
control_energy,FUZZY_PID,LQI,10,10,0.00018267179110955,0.0010960307466573,-1
control_energy,LQR,LQI,10,10,0.00018267179110955,0.0010960307466573,-1
saturation_ratio,ATTITUDE_PID,CASCADE_PID,0,10,NaN,NaN,NaN
saturation_ratio,ATTITUDE_PID,FUZZY_PID,0,10,NaN,NaN,NaN
saturation_ratio,ATTITUDE_PID,LQR,0,10,NaN,NaN,NaN
saturation_ratio,ATTITUDE_PID,LQI,0,10,NaN,NaN,NaN
saturation_ratio,CASCADE_PID,FUZZY_PID,10,10,0.000896423153473636,0.00358569261389454,-0.87
saturation_ratio,CASCADE_PID,LQR,10,10,0.000135785327848767,0.000814711967092604,-1
saturation_ratio,CASCADE_PID,LQI,10,10,0.000144176101538805,0.000814711967092604,-1
saturation_ratio,FUZZY_PID,LQR,10,10,0.0884019215045734,0.193233039758429,-0.45
saturation_ratio,FUZZY_PID,LQI,10,10,0.0644110132528098,0.193233039758429,-0.49
saturation_ratio,LQR,LQI,10,10,0.234157671699942,0.234157671699942,-0.32
